TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,SEASON
GSW,2021-02-23,@LAC,"JORDAN, DEANDRE",30,6,16,6,10,1,0,0,2,3,7,0.4285714286,0,0,NA,0,0,NA,6,LAC,0,23,NA,118,102,32.59452055,W,20-21
GSW,2021-03-05,@POR,"JORDAN, DEANDRE",23,8,16,2,14,0,0,2,1,4,7,0.5714285714,0,0,NA,0,0,NA,1,POR,0,26,NA,136,102,32.62191781,W,20-21
HOU,2021-02-05,@SAC,"VUCEVIC, NIKOLA",31,17,16,2,14,5,2,0,2,7,15,0.4666666667,2,5,0.4,1,3,0.3333333333,3,SAC,0,40,NA,136,116,30.28493151,W,20-21
HOU,2021-02-10,BKN,"VUCEVIC, NIKOLA",35,21,16,6,10,6,0,1,1,8,20,0.4,0,7,0,5,6,0.8333333333,2,BKN,0,44,NA,102,115,30.29863014,L,20-21
HOU,2021-03-07,DEN,"VUCEVIC, NIKOLA",33,24,16,4,12,2,2,0,2,10,14,0.7142857143,2,5,0.4,2,2,1,2,DEN,0,44,NA,148,126,30.36712329,W,20-21
HOU,2021-05-13,@DET,"VUCEVIC, NIKOLA",27,21,16,7,9,1,0,0,0,7,12,0.5833333333,4,8,0.5,3,4,0.75,5,DET,0,38,NA,153,87,30.55068493,W,20-21
IND,2020-12-09,@CLE,"WILLIAMS, ROBERT",20,3,16,2,14,0,0,0,0,1,2,0.5,0,0,NA,1,2,0.5,3,CLE,0,19,NA,115,77,23.14520548,W,20-21
IND,2021-01-06,ORL,"SABONIS, DOMANTAS",33,15,16,1,15,7,1,0,1,7,9,0.7777777778,0,0,NA,1,3,0.3333333333,4,ORL,0,39,NA,109,103,24.67945205,W,20-21
IND,2021-01-22,LAC,"SABONIS, DOMANTAS",30,14,16,7,9,0,1,1,0,6,12,0.5,0,0,NA,2,2,1,1,LAC,0,32,NA,77,107,24.72328767,L,20-21
IND,2021-01-28,CHA,"WILLIAMS, ROBERT",22,8,16,4,12,0,0,0,2,3,3,1,0,0,NA,2,4,0.5,2,CHA,0,24,NA,128,77,23.28219178,W,20-21
IND,2021-03-04,@DEN,"SABONIS, DOMANTAS",32,22,16,4,12,4,0,0,0,11,16,0.6875,0,0,NA,0,0,NA,4,DEN,0,42,NA,90,107,24.83561644,L,20-21
IND,2021-03-26,BKN,"SABONIS, DOMANTAS",28,19,16,2,14,6,0,2,1,9,14,0.6428571429,0,0,NA,1,1,1,4,BKN,0,43,NA,118,101,24.89589041,W,20-21
IND,2021-05-16,@LAL,"WILLIAMS, ROBERT",29,4,16,2,14,2,1,2,0,2,3,0.6666666667,0,0,NA,0,2,0,3,LAL,0,25,NA,112,91,23.57808219,W,20-21
LAC,2021-04-07,SAC,"GREEN, JAMYCHAL",36,16,16,3,13,1,0,0,2,6,9,0.6666666667,4,5,0.8,0,0,NA,5,SAC,0,33,NA,114,94,30.79452055,W,20-21
LAC,2021-04-11,@PHX,"SABONIS, DOMANTAS",33,19,16,9,7,10,2,0,3,8,12,0.6666666667,0,0,NA,3,4,0.75,0,PHX,1,47,NA,119,102,24.93972603,W,20-21
LAC,2021-04-28,NOP,"SABONIS, DOMANTAS",29,14,16,4,12,5,2,1,1,7,12,0.5833333333,0,0,NA,0,0,NA,4,NOP,0,38,NA,112,97,24.98630137,W,20-21
LAL,2020-12-01,@LAC,"COLLINS, JOHN",31,6,16,3,13,2,1,3,0,3,8,0.375,0,0,NA,0,0,NA,3,LAC,0,28,NA,132,125,23.1890411,W,20-21
LAL,2021-01-02,OKC,"COLLINS, JOHN",37,8,16,7,9,2,1,1,6,4,8,0.5,0,1,0,0,2,0,1,OKC,0,28,NA,119,134,23.27671233,L,20-21
LAL,2021-04-14,@MEM,"GOBERT, RUDY",32,13,16,5,11,1,0,3,2,6,10,0.6,0,0,NA,1,2,0.5,3,MEM,0,33,NA,104,108,28.8,L,20-21
