TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype,GAME,ROUND,SEASON
BKN,2021-06-15,@BOS,"CAULEY-STEIN, WILLIE",19,8,9,2,7,1,1,0,0,4,4,1,0,0,NA,0,0,NA,0,BOS,0,19,NA,131,112,27.82465753,W,PLAYOFF,4,1,20-21
BKN,2021-06-15,@BOS,"CLAXTON, NICOLAS",3,2,0,0,0,0,1,0,0,1,1,1,0,0,NA,0,0,NA,0,BOS,0,3,NA,131,112,22.16164384,W,PLAYOFF,4,1,20-21
BKN,2021-06-15,@BOS,"ALDRIDGE, LAMARCUS",20,0,6,0,6,0,1,2,1,0,5,0,0,3,0,0,0,NA,1,BOS,0,9,NA,131,112,35.90684932,W,PLAYOFF,4,1,20-21
BKN,2021-06-15,@BOS,"OKAFOR, JAHLIL",6,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,NA,0,BOS,0,1,NA,131,112,25.49863014,W,PLAYOFF,4,1,20-21
BKN,2021-06-15,@BOS,"HOUSE, DANUEL",7,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,NA,0,BOS,0,0,NA,131,112,28.02191781,W,PLAYOFF,4,1,20-21
BKN,2021-06-15,@BOS,"STEVENS, LAMAR",3,0,0,0,0,0,1,0,0,0,0,NA,0,0,NA,0,0,NA,1,BOS,0,1,NA,131,112,23.93424658,W,PLAYOFF,4,1,20-21
BKN,2021-06-19,BOS,"DURANT, KEVIN",39,49,8,0,8,7,1,0,3,20,34,0.5882352941,2,8,0.25,7,7,1,1,BOS,0,65,NA,136,129,32.72328767,W,PLAYOFF,5,1,20-21
BKN,2021-06-19,BOS,"JAMES, LEBRON",33,20,4,1,3,8,0,1,4,9,20,0.45,0,2,0,2,2,1,1,BOS,0,33,NA,136,129,36.46849315,W,PLAYOFF,5,1,20-21
BKN,2021-06-19,BOS,"HARRIS, JOE",34,14,5,0,5,5,0,0,1,5,8,0.625,2,5,0.4,2,2,1,1,BOS,0,24,NA,136,129,29.78356164,W,PLAYOFF,5,1,20-21
BKN,2021-06-19,BOS,"DINWIDDIE, SPENCER",28,14,6,1,5,9,0,1,0,6,11,0.5454545455,2,7,0.2857142857,0,0,NA,0,BOS,0,30,NA,136,129,28.20273973,W,PLAYOFF,5,1,20-21
BKN,2021-06-19,BOS,"COVINGTON, ROBERT",30,12,6,1,5,3,1,1,0,3,8,0.375,2,5,0.4,4,4,1,3,BOS,0,23,NA,136,129,30.51232877,W,PLAYOFF,5,1,20-21
BKN,2021-06-19,BOS,"CAULEY-STEIN, WILLIE",30,12,11,1,10,1,0,0,1,5,7,0.7142857143,0,0,NA,2,2,1,1,BOS,0,24,NA,136,129,27.83561644,W,PLAYOFF,5,1,20-21
BKN,2021-06-19,BOS,"CARUSO, ALEX",18,8,1,0,1,7,2,0,0,3,4,0.75,2,2,1,0,0,NA,1,BOS,0,18,NA,136,129,27.30410959,W,PLAYOFF,5,1,20-21
BKN,2021-06-19,BOS,"ALDRIDGE, LAMARCUS",18,7,3,0,3,0,1,2,0,2,2,1,1,1,1,2,2,1,1,BOS,0,13,NA,136,129,35.91780822,W,PLAYOFF,5,1,20-21
BKN,2021-06-19,BOS,"GIBSON, TAJ",10,0,1,0,1,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,2,BOS,0,1,NA,136,129,35.98630137,W,PLAYOFF,5,1,20-21
