TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX, ,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype
ATL,12/25/2021,@NYK,"SMITH, ISH",11,2,2,0,2,4,1,0,0,1,1,1,0,0,,0,0,,2,NYK,0,9,,107,106,33.4739726,W,REG
ATL,12/25/2021,@NYK,"FORBES, BRYN",6,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,,0,NYK,0,0,,107,106,28.42465753,W,REG
ATL,12/27/2021,CHI,"YOUNG, TRAE",32,30,2,1,1,8,1,0,2,8,17,0.4705882353,5,10,0.5,9,9,1,2,CHI,0,41,,105,106,23.27123288,L,REG
ATL,12/27/2021,CHI,"POWELL, NORMAN",31,15,7,0,7,0,5,0,4,6,8,0.75,1,2,0.5,2,2,1,2,CHI,0,27,,105,106,28.59178082,L,REG
ATL,12/27/2021,CHI,"ANTHONY, CARMELO",25,11,5,1,4,1,2,1,1,5,11,0.4545454545,1,2,0.5,0,0,,3,CHI,0,20,,105,106,37.58082192,L,REG
ATL,12/27/2021,CHI,"GRANT, JERAMI",23,10,6,0,6,1,0,1,5,4,13,0.3076923077,2,4,0.5,0,0,,3,CHI,0,18,,105,106,27.79452055,L,REG
ATL,12/27/2021,CHI,"FORBES, BRYN",7,10,1,0,1,0,0,0,0,4,5,0.8,2,3,0.6666666667,0,0,,0,CHI,0,11,,105,106,28.43013699,L,REG
ATL,12/27/2021,CHI,"GEORGE, PAUL",32,9,8,1,7,2,1,0,3,4,8,0.5,0,2,0,1,2,0.5,3,CHI,0,20,,105,106,31.65479452,L,REG
ATL,12/27/2021,CHI,"DAVIS, ANTHONY",35,7,7,3,4,7,4,2,3,3,14,0.2142857143,0,3,0,1,2,0.5,2,CHI,0,27,,105,106,28.79726027,L,REG
ATL,12/27/2021,CHI,"SMITH, ISH",10,6,0,0,0,2,2,0,1,3,3,1,0,0,,0,0,,1,CHI,0,10,,105,106,33.47945205,L,REG
ATL,12/27/2021,CHI,"HARDAWAY, TIM",22,5,2,0,2,1,0,0,0,2,7,0.2857142857,1,5,0.2,0,0,,1,CHI,0,8,,105,106,23.88219178,L,REG
